vol,low,high,open,close,move,lbl
3.24E-06,0.001532075,0.001264465,0.001434488,0.001437322,4.80E-05,0
6.65E-06,0.001547473,0.001278,0.001443407,0.001451828,6.80E-05,0
1.87E-06,0.001569287,0.001297522,0.001457975,0.001469887,3.10E-05,0
1.51E-06,0.001579231,0.001298563,0.001475813,0.00146515,-2.00E-06,0
8.01E-06,0.001578589,0.00132303,0.001470164,0.001501861,0.000148,0
3.97E-06,0.001626066,0.001357647,0.001507922,0.001537387,0.000107,0
2.91E-06,0.00166039,0.001358689,0.001543003,0.00153561,-4.20E-05,0
1.02E-05,0.001646917,0.001364675,0.001541517,0.001522288,-6.30E-05,0
7.63E-06,0.001626707,0.00134151,0.00152903,0.001504525,-0.000359,0
7.38E-06,0.001511545,0.001324071,0.001511192,0.001397059,-0.000187,0
1.19E-05,0.001451558,0.001228806,0.001403271,0.001346435,9.00E-06,0
8.10E-06,0.001454445,0.001280603,0.00135154,0.00144798,8.20E-05,0
7.38E-06,0.00148075,0.001273836,0.001453812,0.001434361,0.00013,0
9.38E-06,0.001522452,0.001261863,0.001438947,0.001413934,2.30E-05,0
5.95E-06,0.00152983,0.001278,0.001419325,0.001447684,8.00E-05,0
4.09E-06,0.001555493,0.001276438,0.001452921,0.001440874,-0.000213,0
5.15E-06,0.001487165,0.001269931,0.00144638,0.001382849,2.00E-06,0
3.24E-06,0.001487807,0.001229327,0.001389595,0.001380776,1.40E-05,0
5.75E-06,0.001492298,0.001252232,0.001384838,0.001424,0.000128,0
7.47E-06,0.001533359,0.001264726,0.001429731,0.001422519,2.60E-05,0
8.38E-06,0.001541699,0.001268109,0.001428839,0.001439098,2.80E-05,0
1.13E-05,0.001550681,0.001274877,0.001445191,0.001443835,2.00E-05,0
1.17E-05,0.001557097,0.001274096,0.001450245,0.001443835,2.30E-05,0
3.87E-06,0.001564475,0.001279041,0.001449948,0.001452716,3.00E-06,0
6.52E-06,0.001565437,0.001286069,0.001457975,0.001458341,6.00E-06,0
1.48E-05,0.001567362,0.001289973,0.001462732,0.00145094,-1.30E-05,0
2.12E-05,0.001563192,0.001276959,0.001455596,0.001450348,2.40E-05,0
1.21E-05,0.001570891,0.001355825,0.001455894,0.001508966,1.30E-05,0
1.32E-05,0.001575061,0.001378731,0.001524571,0.001490611,-1.40E-05,0
8.14E-06,0.00157057,0.001352702,0.001493056,0.001538571,0.00012,0
3.16E-06,0.001609064,0.001361031,0.00154776,0.001495644,2.30E-05,0
2.12E-06,0.001616442,0.001354784,0.001498111,0.001533834,0.000142,0
1.17E-05,0.001661994,0.001399814,0.001540328,0.001580906,0.000156,0
1.23E-05,0.001712036,0.001418294,0.001586707,0.001608143,8.70E-05,0
1.18E-05,0.001739945,0.001482584,0.001612572,0.0016863,0.000268,0
2.52E-05,0.001825916,0.001586698,0.001692547,0.00179347,0.000345,0
1.95E-05,0.001936587,0.001718663,0.001805225,0.001950672,0.000554,0
3.04E-05,0.002114303,0.002019813,0.001959525,0.00226863,0.001078,0
3.49E-05,0.00246011,0.002283482,0.002280018,0.002545732,0.000693,0
2.26E-05,0.002682415,0.002288167,0.002555321,0.002534778,0.000199,0
7.08E-05,0.002746252,0.002561466,0.002545212,0.002883525,0.001134,0
6.45E-05,0.003110023,0.002866781,0.002896327,0.003257732,0.001309,0
0.000144915,0.003529932,0.003697351,0.003271524,0.004205388,0.002753,0
7.62E-05,0.004413057,0.003981582,0.004222002,0.004489595,0.000225,0
5.08E-05,0.004485234,0.003945923,0.004507116,0.004139368,-0.0028,0
7.73E-05,0.003587032,0.003638006,0.004155406,0.003319014,-0.003077,0
9.35E-05,0.002599973,0.003272305,0.003330985,0.00371809,0.004463,0
5.97E-05,0.004031642,0.003463615,0.003741858,0.003895423,0.00035,0
2.88E-05,0.004143917,0.00343186,0.003913699,0.003887134,0.000219,0
6.39E-05,0.00421417,0.003474286,0.003905672,0.003950193,0.000174,0
3.47E-05,0.004269986,0.003591415,0.003964835,0.004081047,0.000415,0
3.80E-05,0.004403113,0.00375123,0.004094162,0.004264894,0.000662,0
2.53E-05,0.004615473,0.003850659,0.004282949,0.004379761,-0.001198,0
6.95E-05,0.004231171,0.003953211,0.004398006,0.003973284,7.80E-05,0
4.39E-05,0.004256193,0.003922758,0.003989214,0.004460878,0.001747,0
3.02E-05,0.004816606,0.004147124,0.004480656,0.004709265,0.00079,0
4.39E-05,0.005070028,0.004261909,0.00472266,0.004847519,0.000568999,0
4.39E-05,0.005252555,0.004261909,0.004868042,0.004847519,0,0
3.28E-05,0.005252555,0.00447222,0.004868042,0.005030479,0.000603,0
1.17E-05,0.005445989,0.00448159,0.005051478,0.005070445,0.000119001,0
7.13E-05,0.005484163,0.004748122,0.005088344,0.005400541,0.001111001,0
0.000169118,0.005840557,0.005643243,0.005424594,0.006376617,0.003304999,0
0.000161849,0.006900755,0.006784333,0.006407775,0.007716538,0.003999,0
0.000108691,0.008183579,0.007291629,0.007737612,0.008271631,-0.002173001,0
0.000169248,0.00748651,0.007296835,0.008317056,0.00690921,-0.000693999,0
8.73E-05,0.007263885,0.006300723,0.006942624,0.007166478,0.001539,0
4.12E-05,0.007757575,0.006551638,0.007202169,0.007377857,0.000685,0
5.82E-05,0.007977314,0.006694014,0.00739393,0.007567625,-0.000989999,0
7.52E-05,0.007659736,0.006666164,0.00759788,0.007069078,-0.000718002,0
3.87E-05,0.00742941,0.006208322,0.007087113,0.006922237,0.000227001,0
3.34E-05,0.007502229,0.006282764,0.006953326,0.00714605,0.000759,0
5.44E-05,0.007745706,0.006609682,0.007178682,0.007492429,-7.90E-05,0
2.27E-05,0.007720364,0.006594325,0.007521473,0.007127103,-0.000456,0
2.72E-05,0.007574085,0.006293696,0.007158466,0.007035327,0.000163,0
3.10E-05,0.007626374,0.006323368,0.007069275,0.007173583,0.000266001,0
2.15E-05,0.007711703,0.006319203,0.007203358,0.007164405,0.000111999,0
1.73E-05,0.007747631,0.006360849,0.007192953,0.007234865,5.30E-05,0
1.08E-05,0.007764632,0.006365274,0.007270549,0.007220655,0.000104001,0
1.24E-05,0.007797994,0.006356945,0.007247359,0.007199339,-0.002203001,0
5.87E-05,0.007091302,0.006329355,0.007223575,0.006544477,-0.003277998,0
0.000102855,0.006039765,0.005763234,0.0065704,0.005603631,6.20E-05,0
8.26E-05,0.006059654,0.005287953,0.005631814,0.006014548,0.001391999,0
4.74E-05,0.006506188,0.005399616,0.006042687,0.006137705,0.000210001,0
2.13E-05,0.006573553,0.0054397,0.006162202,0.006170566,0.000175999,0
2.23E-05,0.006630011,0.005444385,0.00619669,0.006121126,-0.000156,0
2.96E-05,0.006579969,0.005378793,0.00613931,0.006091521,-0.001281999,0
4.20E-05,0.006168721,0.005367861,0.006131283,0.005693926,-0.000475001,0
1.51E-05,0.006016347,0.00502038,0.005721302,0.005555375,-0.000321001,0
1.52E-05,0.005913374,0.004907156,0.005583948,0.005457382,-0.002834999,0
8.42E-05,0.005003946,0.005405863,0.005478703,0.004632587,-0.001486,0
5.10E-05,0.004527257,0.005813469,0.0046412,0.004213677,9.10E-05,0
6.19E-05,0.004556449,0.004304075,0.004222894,0.004868243,0.002157,0
4.47E-05,0.005248385,0.004449314,0.00489034,0.004856105,-0.001,0
2.00E-05,0.004927598,0.004268937,0.004873691,0.004547621,-0.000269,0
3.17E-05,0.004841307,0.004114068,0.004574307,0.00462489,0.000559001,0
2.96E-05,0.005020627,0.004168987,0.004654876,0.004734132,0.000198999,0
2.79E-05,0.005084463,0.004194235,0.004741093,0.004769954,0.000258001,0
3.09E-05,0.005167226,0.004351187,0.00478896,0.004930117,0.000562999,0
2.99E-05,0.005347828,0.00443578,0.004964963,0.005035807,2.30E-05,0
2.92E-05,0.005355207,0.004428232,0.005058019,0.004954097,-9.60E-05,0
2.56E-05,0.005324411,0.004390491,0.004970909,0.00495469,-0.000204999,0
2.41E-05,0.00525865,0.004403505,0.004965855,0.004907914,-0.000562001,0
8.33E-05,0.005078368,0.004635158,0.00493107,0.004742422,-0.000369999,0
3.56E-05,0.004959677,0.004181481,0.004758932,0.004689725,-0.000543,0
3.74E-05,0.00478549,0.004146863,0.004708093,0.004431866,-0.00038,0
2.97E-05,0.004663591,0.003901154,0.004449439,0.004353708,-0.0001,0
2.18E-05,0.004631513,0.003856125,0.004367681,0.004275847,-0.000167,0
1.51E-05,0.004577941,0.003810575,0.004293355,0.00423292,-0.000183,0
2.31E-05,0.004519237,0.003730147,0.004247273,0.004185848,-0.000554,0
4.01E-05,0.004341522,0.003695789,0.004202975,0.004047001,-0.000551,0
3.42E-05,0.004164769,0.00356877,0.004060567,0.003856049,4.40E-05,0
1.69E-05,0.004178883,0.003520617,0.003872968,0.00399608,0.000476,0
3.31E-05,0.004331577,0.003767107,0.004014485,0.004282657,0.00097,0
4.84E-05,0.00464274,0.004032858,0.004302869,0.004495516,-1.40E-05,0
1.40E-05,0.004638249,0.003954513,0.004514846,0.004315518,-6.10E-05,0
1.21E-05,0.004618681,0.003813438,0.004333491,0.004270815,-0.000404,0
1.69E-05,0.004489084,0.003756696,0.004290085,0.004142921,-0.000367,0
2.30E-05,0.004371355,0.003645814,0.004163136,0.004040784,-3.90E-05,0
1.24E-05,0.004358844,0.00358673,0.004056107,0.004078382,0.000186,0
1.47E-05,0.004418511,0.003661952,0.004096838,0.004156243,0.000257,0
2.72E-05,0.004500953,0.003816041,0.004171461,0.004312261,0.000533,0
2.21E-05,0.004671932,0.003911826,0.004329923,0.004427721,-0.000998,0
3.07E-05,0.004351787,0.003914168,0.004442007,0.004059435,1.40E-05,0
1.06E-05,0.004356278,0.003605731,0.004086432,0.004070685,0.000142,0
1.16E-05,0.00440183,0.003656486,0.004088216,0.004153875,-3.00E-06,0
1.04E-05,0.004400867,0.003656746,0.004170569,0.004082823,3.90E-05,0
8.35E-06,0.004413378,0.00360521,0.004104567,0.004073053,-0.000277,0
2.81E-05,0.00432452,0.003582825,0.004085243,0.003991047,-0.000237,0
8.51E-06,0.004248494,0.00352348,0.004002295,0.003933318,-0.000164,0
